timestamp_ms,rssi,snr,FlightState,dual_board_connectivity_state_flag,recovery_checks_complete_and_flight_ready,GPS_fix_flag,payload_connection_flag,camera_controller_connection_flag,GPS_latitude,GPS_longitude,nav_status,qw,qx,qy,qz
45422,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,123,123,NA,0.98997,0.14103,-0.0056,0.0012
45424,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,123,123,NA,0.99,0.14073,-0.00567,0.0011
45426,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,123,123,NA,0.99007,0.14043,-0.00567,0.00103
45428,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,123,123,NA,0.9901,0.14013,-0.0057,0.001
45430,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,123,123,NA,0.99013,0.13983,-0.0057,0.00097
45432,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,123,123,NA,0.99017,0.13953,-0.00563,0.00093
45434,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,123,123,NA,0.99023,0.13923,-0.00557,0.0009
45436,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,123,123,NA,0.99027,0.13893,-0.00547,0.0008
45438,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,123,123,NA,0.9903,0.13863,-0.0054,0.00073
45440,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,123,123,NA,0.99033,0.13837,-0.0054,0.00063
45442,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,123,123,NA,0.9904,0.13803,-0.00543,0.00053
45444,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,123,123,NA,0.99043,0.13773,-0.00547,0.00043
45446,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,123,123,NA,0.99047,0.13747,-0.00553,0.00033
45448,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,123,123,NA,0.9905,0.13717,-0.00553,0.00027
45450,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,123,123,NA,0.99057,0.13683,-0.0055,0.00023
45452,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,123,123,NA,0.9906,0.13657,-0.0054,0.0002
45454,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,123,123,NA,0.99063,0.13627,-0.0053,0.00017
45456,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,123,123,NA,0.99067,0.13597,-0.00523,0.00017
45458,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,123,123,NA,0.99073,0.13567,-0.00513,0.00013
45460,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,123,123,NA,0.99077,0.13537,-0.00507,0.00007
45462,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,123,123,NA,0.9908,0.1351,-0.00507,0
45464,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,123,123,NA,0.99083,0.1348,-0.00507,-0.0001
45466,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,123,123,NA,0.99087,0.1345,-0.00503,-0.0002
45468,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,123,123,NA,0.99093,0.13423,-0.00503,-0.0003
45470,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,123,123,NA,0.99097,0.13397,-0.00503,-0.0004
45472,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,123,123,NA,0.991,0.13367,-0.005,-0.00047
45474,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,123,123,NA,0.99103,0.1334,-0.00493,-0.0005
45476,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,123,123,NA,0.99107,0.1331,-0.00487,-0.0005
45478,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,123,123,NA,0.9911,0.13283,-0.0048,-0.0005
45480,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,123,123,NA,0.99113,0.13257,-0.00467,-0.0005
45482,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,123,123,NA,0.9912,0.13227,-0.00453,-0.00053
45484,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,123,123,NA,0.99123,0.132,-0.00443,-0.0006
45486,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,123,123,NA,0.99127,0.1317,-0.00437,-0.00063
45488,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,123,123,NA,0.9913,0.13143,-0.0043,-0.00073
45490,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,123,123,NA,0.99133,0.13117,-0.0043,-0.0008
45492,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,123,123,NA,0.99137,0.1309,-0.0043,-0.0009
45494,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,123,123,NA,0.9914,0.13063,-0.0043,-0.00097
45496,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,123,123,NA,0.99143,0.13037,-0.00423,-0.00107
45498,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,123,123,NA,0.99147,0.13007,-0.00413,-0.0011
45500,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,123,123,NA,0.9915,0.12977,-0.00403,-0.00113
45502,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,123,123,NA,0.99157,0.1295,-0.00393,-0.00113
45504,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,123,123,NA,0.9916,0.12923,-0.0038,-0.00113
45506,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,123,123,NA,0.99163,0.12897,-0.00367,-0.00113
45508,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,123,123,NA,0.99167,0.12867,-0.0036,-0.00117
45510,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,123,123,NA,0.9917,0.12843,-0.0035,-0.00117
45512,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,123,123,NA,0.99173,0.12817,-0.00343,-0.00123
45514,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,123,123,NA,0.99177,0.1279,-0.00337,-0.00127
45516,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,123,123,NA,0.9918,0.12767,-0.0033,-0.00137
45518,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,123,123,NA,0.99183,0.1274,-0.00323,-0.00143
45520,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,123,123,NA,0.99187,0.12713,-0.00317,-0.00147
45522,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,123,123,NA,0.9919,0.12687,-0.00307,-0.00153
45524,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,123,123,NA,0.99193,0.12663,-0.003,-0.00157
45526,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,123,123,NA,0.99197,0.12633,-0.0029,-0.0016
45528,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,123,123,NA,0.992,0.1261,-0.00277,-0.0016
45530,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,123,123,NA,0.99203,0.12583,-0.00263,-0.0016
45532,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,123,123,NA,0.99207,0.12557,-0.00253,-0.0016
45534,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,123,123,NA,0.9921,0.1253,-0.0024,-0.0016
45536,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,123,123,NA,0.99213,0.12507,-0.0023,-0.00163
45538,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,123,123,NA,0.99217,0.12477,-0.0022,-0.00167
45540,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,123,123,NA,0.9922,0.12453,-0.00213,-0.00173
